id,sepal_length,sepal_width,petal_length,petal_width,class,symbol,angiosperms
1,5.1,3.5,1.4,0.2,Iris-setosa,IRSE,Dicot
2,4.9,3.0,1.4,0.2,Iris-setosa,IRSE,Dicot
3,4.7,3.2,1.3,0.2,Iris-setosa,IRSE,Dicot
4,4.6,3.1,1.5,0.2,Iris-setosa,IRSE,Dicot
5,5.0,3.6,1.4,0.2,Iris-setosa,IRSE,Dicot
6,5.4,3.9,1.7,0.4,Iris-setosa,IRSE,Dicot
7,4.6,3.4,1.4,0.3,Iris-setosa,IRSE,Dicot
8,5.0,3.4,1.5,0.2,Iris-setosa,IRSE,Dicot
9,4.4,2.9,1.4,0.2,Iris-setosa,IRSE,Dicot
10,4.9,3.1,1.5,0.1,Iris-setosa,IRSE,Dicot
11,5.4,3.7,1.5,0.2,Iris-setosa,IRSE,Dicot
12,4.8,3.4,1.6,0.2,Iris-setosa,IRSE,Dicot
13,4.8,3.0,1.4,0.1,Iris-setosa,IRSE,Dicot
14,4.3,3.0,1.1,0.1,Iris-setosa,IRSE,Dicot
15,5.8,4.0,1.2,0.2,Iris-setosa,IRSE,Dicot
16,5.7,4.4,1.5,0.4,Iris-setosa,IRSE,Dicot
17,5.4,3.9,1.3,0.4,Iris-setosa,IRSE,Dicot
18,5.1,3.5,1.4,0.3,Iris-setosa,IRSE,Dicot
19,5.7,3.8,1.7,0.3,Iris-setosa,IRSE,Dicot
20,5.1,3.8,1.5,0.3,Iris-setosa,IRSE,Dicot
21,5.4,3.4,1.7,0.2,Iris-setosa,IRSE,Dicot
22,5.1,3.7,1.5,0.4,Iris-setosa,IRSE,Dicot
23,4.6,3.6,1.0,0.2,Iris-setosa,IRSE,Dicot
24,5.1,3.3,1.7,0.5,Iris-setosa,IRSE,Dicot
25,4.8,3.4,1.9,0.2,Iris-setosa,IRSE,Dicot
26,5.0,3.0,1.6,0.2,Iris-setosa,IRSE,Dicot
27,5.0,3.4,1.6,0.4,Iris-setosa,IRSE,Dicot
28,5.2,3.5,1.5,0.2,Iris-setosa,IRSE,Dicot
29,5.2,3.4,1.4,0.2,Iris-setosa,IRSE,Dicot
30,4.7,3.2,1.6,0.2,Iris-setosa,IRSE,Dicot
31,4.8,3.1,1.6,0.2,Iris-setosa,IRSE,Dicot
32,5.4,3.4,1.5,0.4,Iris-setosa,IRSE,Dicot
33,5.2,4.1,1.5,0.1,Iris-setosa,IRSE,Dicot
34,5.5,4.2,1.4,0.2,Iris-setosa,IRSE,Dicot
35,4.9,3.1,1.5,0.1,Iris-setosa,IRSE,Dicot
36,5.0,3.2,1.2,0.2,Iris-setosa,IRSE,Dicot
37,5.5,3.5,1.3,0.2,Iris-setosa,IRSE,Dicot
38,4.9,3.1,1.5,0.1,Iris-setosa,IRSE,Dicot
39,4.4,3.0,1.3,0.2,Iris-setosa,IRSE,Dicot
40,5.1,3.4,1.5,0.2,Iris-setosa,IRSE,Dicot
41,5.0,3.5,1.3,0.3,Iris-setosa,IRSE,Dicot
42,4.5,2.3,1.3,0.3,Iris-setosa,IRSE,Dicot
43,4.4,3.2,1.3,0.2,Iris-setosa,IRSE,Dicot
44,5.0,3.5,1.6,0.6,Iris-setosa,IRSE,Dicot
45,5.1,3.8,1.9,0.4,Iris-setosa,IRSE,Dicot
46,4.8,3.0,1.4,0.3,Iris-setosa,IRSE,Dicot
47,5.1,3.8,1.6,0.2,Iris-setosa,IRSE,Dicot
48,4.6,3.2,1.4,0.2,Iris-setosa,IRSE,Dicot
49,5.3,3.7,1.5,0.2,Iris-setosa,IRSE,Dicot
50,5.0,3.3,1.4,0.2,Iris-setosa,IRSE,Dicot
51,7.0,3.2,4.7,1.4,Iris-versicolor,IRVE2,Dicot
52,6.4,3.2,4.5,1.5,Iris-versicolor,IRVE2,Dicot
53,6.9,3.1,4.9,1.5,Iris-versicolor,IRVE2,Dicot
54,5.5,2.3,4.0,1.3,Iris-versicolor,IRVE2,Dicot
55,6.5,2.8,4.6,1.5,Iris-versicolor,IRVE2,Dicot
56,5.7,2.8,4.5,1.3,Iris-versicolor,IRVE2,Dicot
57,6.3,3.3,4.7,1.6,Iris-versicolor,IRVE2,Dicot
58,4.9,2.4,3.3,1.0,Iris-versicolor,IRVE2,Dicot
59,6.6,2.9,4.6,1.3,Iris-versicolor,IRVE2,Dicot
60,5.2,2.7,3.9,1.4,Iris-versicolor,IRVE2,Dicot
61,5.0,2.0,3.5,1.0,Iris-versicolor,IRVE2,Dicot
62,5.9,3.0,4.2,1.5,Iris-versicolor,IRVE2,Dicot
63,6.0,2.2,4.0,1.0,Iris-versicolor,IRVE2,Dicot
64,6.1,2.9,4.7,1.4,Iris-versicolor,IRVE2,Dicot
65,5.6,2.9,3.6,1.3,Iris-versicolor,IRVE2,Dicot
66,6.7,3.1,4.4,1.4,Iris-versicolor,IRVE2,Dicot
67,5.6,3.0,4.5,1.5,Iris-versicolor,IRVE2,Dicot
68,5.8,2.7,4.1,1.0,Iris-versicolor,IRVE2,Dicot
69,6.2,2.2,4.5,1.5,Iris-versicolor,IRVE2,Dicot
70,5.6,2.5,3.9,1.1,Iris-versicolor,IRVE2,Dicot
71,5.9,3.2,4.8,1.8,Iris-versicolor,IRVE2,Dicot
72,6.1,2.8,4.0,1.3,Iris-versicolor,IRVE2,Dicot
73,6.3,2.5,4.9,1.5,Iris-versicolor,IRVE2,Dicot
74,6.1,2.8,4.7,1.2,Iris-versicolor,IRVE2,Dicot
75,6.4,2.9,4.3,1.3,Iris-versicolor,IRVE2,Dicot
76,6.6,3.0,4.4,1.4,Iris-versicolor,IRVE2,Dicot
77,6.8,2.8,4.8,1.4,Iris-versicolor,IRVE2,Dicot
78,6.7,3.0,5.0,1.7,Iris-versicolor,IRVE2,Dicot
79,6.0,2.9,4.5,1.5,Iris-versicolor,IRVE2,Dicot
80,5.7,2.6,3.5,1.0,Iris-versicolor,IRVE2,Dicot
81,5.5,2.4,3.8,1.1,Iris-versicolor,IRVE2,Dicot
82,5.5,2.4,3.7,1.0,Iris-versicolor,IRVE2,Dicot
83,5.8,2.7,3.9,1.2,Iris-versicolor,IRVE2,Dicot
84,6.0,2.7,5.1,1.6,Iris-versicolor,IRVE2,Dicot
85,5.4,3.0,4.5,1.5,Iris-versicolor,IRVE2,Dicot
86,6.0,3.4,4.5,1.6,Iris-versicolor,IRVE2,Dicot
87,6.7,3.1,4.7,1.5,Iris-versicolor,IRVE2,Dicot
88,6.3,2.3,4.4,1.3,Iris-versicolor,IRVE2,Dicot
89,5.6,3.0,4.1,1.3,Iris-versicolor,IRVE2,Dicot
90,5.5,2.5,4.0,1.3,Iris-versicolor,IRVE2,Dicot
91,5.5,2.6,4.4,1.2,Iris-versicolor,IRVE2,Dicot
92,6.1,3.0,4.6,1.4,Iris-versicolor,IRVE2,Dicot
93,5.8,2.6,4.0,1.2,Iris-versicolor,IRVE2,Dicot
94,5.0,2.3,3.3,1.0,Iris-versicolor,IRVE2,Dicot
95,5.6,2.7,4.2,1.3,Iris-versicolor,IRVE2,Dicot
96,5.7,3.0,4.2,1.2,Iris-versicolor,IRVE2,Dicot
97,5.7,2.9,4.2,1.3,Iris-versicolor,IRVE2,Dicot
98,6.2,2.9,4.3,1.3,Iris-versicolor,IRVE2,Dicot
99,5.1,2.5,3.0,1.1,Iris-versicolor,IRVE2,Dicot
100,5.7,2.8,4.1,1.3,Iris-versicolor,IRVE2,Dicot
101,6.3,3.3,6.0,2.5,Iris-virginica,IRVI,Dicot
102,5.8,2.7,5.1,1.9,Iris-virginica,IRVI,Dicot
103,7.1,3.0,5.9,2.1,Iris-virginica,IRVI,Dicot
104,6.3,2.9,5.6,1.8,Iris-virginica,IRVI,Dicot
105,6.5,3.0,5.8,2.2,Iris-virginica,IRVI,Dicot
106,7.6,3.0,6.6,2.1,Iris-virginica,IRVI,Dicot
107,4.9,2.5,4.5,1.7,Iris-virginica,IRVI,Dicot
108,7.3,2.9,6.3,1.8,Iris-virginica,IRVI,Dicot
109,6.7,2.5,5.8,1.8,Iris-virginica,IRVI,Dicot
110,7.2,3.6,6.1,2.5,Iris-virginica,IRVI,Dicot
111,6.5,3.2,5.1,2.0,Iris-virginica,IRVI,Dicot
112,6.4,2.7,5.3,1.9,Iris-virginica,IRVI,Dicot
113,6.8,3.0,5.5,2.1,Iris-virginica,IRVI,Dicot
114,5.7,2.5,5.0,2.0,Iris-virginica,IRVI,Dicot
115,5.8,2.8,5.1,2.4,Iris-virginica,IRVI,Dicot
116,6.4,3.2,5.3,2.3,Iris-virginica,IRVI,Dicot
117,6.5,3.0,5.5,1.8,Iris-virginica,IRVI,Dicot
118,7.7,3.8,6.7,2.2,Iris-virginica,IRVI,Dicot
119,7.7,2.6,6.9,2.3,Iris-virginica,IRVI,Dicot
120,6.0,2.2,5.0,1.5,Iris-virginica,IRVI,Dicot
121,6.9,3.2,5.7,2.3,Iris-virginica,IRVI,Dicot
122,5.6,2.8,4.9,2.0,Iris-virginica,IRVI,Dicot
123,7.7,2.8,6.7,2.0,Iris-virginica,IRVI,Dicot
124,6.3,2.7,4.9,1.8,Iris-virginica,IRVI,Dicot
125,6.7,3.3,5.7,2.1,Iris-virginica,IRVI,Dicot
126,7.2,3.2,6.0,1.8,Iris-virginica,IRVI,Dicot
127,6.2,2.8,4.8,1.8,Iris-virginica,IRVI,Dicot
128,6.1,3.0,4.9,1.8,Iris-virginica,IRVI,Dicot
129,6.4,2.8,5.6,2.1,Iris-virginica,IRVI,Dicot
130,7.2,3.0,5.8,1.6,Iris-virginica,IRVI,Dicot
131,7.4,2.8,6.1,1.9,Iris-virginica,IRVI,Dicot
132,7.9,3.8,6.4,2.0,Iris-virginica,IRVI,Dicot
133,6.4,2.8,5.6,2.2,Iris-virginica,IRVI,Dicot
134,6.3,2.8,5.1,1.5,Iris-virginica,IRVI,Dicot
135,6.1,2.6,5.6,1.4,Iris-virginica,IRVI,Dicot
136,7.7,3.0,6.1,2.3,Iris-virginica,IRVI,Dicot
137,6.3,3.4,5.6,2.4,Iris-virginica,IRVI,Dicot
138,6.4,3.1,5.5,1.8,Iris-virginica,IRVI,Dicot
139,6.0,3.0,4.8,1.8,Iris-virginica,IRVI,Dicot
140,6.9,3.1,5.4,2.1,Iris-virginica,IRVI,Dicot
141,6.7,3.1,5.6,2.4,Iris-virginica,IRVI,Dicot
142,6.9,3.1,5.1,2.3,Iris-virginica,IRVI,Dicot
143,5.8,2.7,5.1,1.9,Iris-virginica,IRVI,Dicot
144,6.8,3.2,5.9,2.3,Iris-virginica,IRVI,Dicot
145,6.7,3.3,5.7,2.5,Iris-virginica,IRVI,Dicot
146,6.7,3.0,5.2,2.3,Iris-virginica,IRVI,Dicot
147,6.3,2.5,5.0,1.9,Iris-virginica,IRVI,Dicot
148,6.5,3.0,5.2,2.0,Iris-virginica,IRVI,Dicot
149,6.2,3.4,5.4,2.3,Iris-virginica,IRVI,Dicot